PN	ASSIGNEE	去標點符號	lower
5968734	(CNRS Centre National de la Recherche Scientifique	(CNRSCentreNationaldelaRechercheScientifique	(cnrscentrenationaldelarecherchescientifique
9835552	"1087 Systems, Inc."	1087SystemsInc	1087systemsinc
9689024	"10X GENOMICS, INC."	10XGENOMICSINC	10xgenomicsinc
9694361	"10X Genomics, Inc."	10XGenomicsInc	10xgenomicsinc
9695468	"10X GENOMICS, INC."	10XGENOMICSINC	10xgenomicsinc
9975122	"10X GENOMICS, INC."	10XGENOMICSINC	10xgenomicsinc
10071377	"10X GENOMICS, INC."	10XGENOMICSINC	10xgenomicsinc
10137449	"10X GENOMICS, INC."	10XGENOMICSINC	10xgenomicsinc
10150117	"10X GENOMICS, INC."	10XGENOMICSINC	10xgenomicsinc
8172564	10x Technology LLC	10xTechnologyLLC	10xtechnologyllc
8236407	10x Technology LLC	10xTechnologyLLC	10xtechnologyllc
8574354	1234 10th Street LLC	123410thStreetLLC	123410thstreetllc
10006275	1234 10th Street LLC	123410thStreetLLC	123410thstreetllc
9679429	13876 Yukon Inc.	13876YukonInc	13876yukoninc
6958242	"20/20/GeneSystems, Inc."	20/20/GeneSystemsInc	20/20/genesystemsinc
6602661	"20/20 GeneSystems, Inc."	20/20GeneSystemsInc	20/20genesystemsinc
6770485	"20/20 GeneSystems, Inc."	20/20GeneSystemsInc	20/20genesystemsinc
6969615	"20/20 GeneSystems, Inc."	20/20GeneSystemsInc	20/20genesystemsinc
7838222	"20/20 Genesystems, Inc."	20/20GenesystemsInc	20/20genesystemsinc
8779312	"20/20 Genesystems, Inc."	20/20GenesystemsInc	20/20genesystemsinc
9320601	"206 ORTHO, Inc."	206ORTHOInc	206orthoinc
10028776	"206 Ortho, Inc."	206OrthoInc	206orthoinc
6649050	21st Century Innovations	21stCenturyInnovations	21stcenturyinnovations
8187811	"23andMe, Inc."	23andMeInc	23andmeinc
5489510	2860601 Canada Inc.	2860601CanadaInc	2860601canadainc
9423340	"2B Technologies, Inc."	2BTechnologiesInc	2btechnologiesinc
8362446	2C A/S	2CA/S	2ca/s
6596374	3849953 Canada Inc.	3849953CanadaInc	3849953canadainc
8906685	"3D Biomatrix, Inc."	3DBiomatrixInc	3dbiomatrixinc
10016183	"3DBiopsy, Inc."	3DBiopsyInc	3dbiopsyinc
7195872	"3D Biosurfaces, Inc."	3DBiosurfacesInc	3dbiosurfacesinc
7327515	3dhistech KFT	3dhistechKFT	3dhistechkft
9625478	3DHISTECH KFT.	3DHISTECHKFT	3dhistechkft
6291192	3-Dimensional Pharmaceuticals Inc.	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
6421612	3-Dimensional Pharmaceuticals Inc.	3-DimensionalPharmaceuticalsInc	3-dimensionalpharmaceuticalsinc
