PN,ASSIGNEE,value
5968734,(CNRS Centre National de la Recherche Scientifique,18222
9835552,"1087 Systems, Inc.",3994
9689024,"10X GENOMICS, INC.",12231
9694361,"10X GENOMICS, INC.",12232
9695468,"10X GENOMICS, INC.",12233
9975122,"10X GENOMICS, INC.",12237
10071377,"10X GENOMICS, INC.",12239
10137449,"10X GENOMICS, INC.",12240
10150117,"10X GENOMICS, INC.",12241
9679429,13876 Yukon Inc.,28741
6602661,"20/20 GeneSystems, Inc.",4787
6969615,"20/20 GeneSystems, Inc.",4788
7838222,"20/20 GeneSystems, Inc.",4790
8779312,"20/20 GeneSystems, Inc.",4793
6770485,"20/20 GeneSystems, Inc.",23775
6958242,"20/20 GeneSystems, Inc.",23776
10028776,"206 ORTHO, Inc.",23503
9320601,"206 ORTHO, Inc.",23596
5489510,2860601 Canada Inc.,11944
8362446,2C A/S,17552
7933719,3 Q B D Ltd.,22909
8906685,"3D Biomatrix, Inc.",1785
7195872,"3D Biosurfaces, Inc.",8941
9963745,3D Signatures Holdings Inc.,23470
7327515,3dhistech KFT,1154
9625478,3dhistech KFT,13362
6421612,3-Dimensional Pharmaceuticals Inc.,11129
6291192,3-Dimensional Pharmaceuticals Inc.,22145
6569631,3-Dimensional Pharmaceuticals Inc.,4058
6020141,3-Dimensional Pharmaceuticals Inc.,18926
6036920,3-Dimensional Pharmaceuticals Inc.,19173
6214293,3-Dimensional Pharmaceuticals Inc.,21127
6232085,3-Dimensional Pharmaceuticals Inc.,21380
6268158,3-Dimensional Pharmaceuticals Inc.,21823
6268218,3-Dimensional Pharmaceuticals Inc.,21837
6291191,3-Dimensional Pharmaceuticals Inc.,22144
6303322,3-Dimensional Pharmaceuticals Inc.,22309
9186868,"3form, LLC",17650
7435558,3M ESPE AG,1171
7601769,3M Innovative Peroperties Company,5340
7981469,3M Innovative Peroperties Company,5343
6313335,3M Innovative Peroperties Company,22453
9717812,3M Innovative Peroperties Company,1288
7449146,3M Innovative Peroperties Company,111
7098253,3M Innovative Peroperties Company,586
8338496,3M Innovative Peroperties Company,588
8338497,3M Innovative Peroperties Company,589
8349906,3M Innovative Peroperties Company,590
7319031,3M Innovative Peroperties Company,626
7351574,3M Innovative Peroperties Company,627
7496225,3M Innovative Peroperties Company,629
7865008,3M Innovative Peroperties Company,631
8094916,3M Innovative Peroperties Company,633
8417013,3M Innovative Peroperties Company,635
8759080,3M Innovative Peroperties Company,636
9933446,3M Innovative Peroperties Company,641
6623955,3M Innovative Peroperties Company,1271
8802392,3M Innovative Peroperties Company,1279
8840837,3M Innovative Peroperties Company,1280
8969029,3M Innovative Peroperties Company,1281
8980622,3M Innovative Peroperties Company,1282
9279141,3M Innovative Peroperties Company,1283
9322046,3M Innovative Peroperties Company,1284
9675722,3M Innovative Peroperties Company,1286
9701996,3M Innovative Peroperties Company,1287
10047334,3M Innovative Peroperties Company,1289
8609330,3M Innovative Peroperties Company,1344
9284593,3M Innovative Peroperties Company,1345
9382570,3M Innovative Peroperties Company,1346
7311880,3M Innovative Peroperties Company,1356
6372895,3M Innovative Peroperties Company,1587
6566508,3M Innovative Peroperties Company,1588
9434829,3M Innovative Peroperties Company,1624
9981244,3M Innovative Peroperties Company,1626
6352837,3M Innovative Peroperties Company,2132
6566090,3M Innovative Peroperties Company,2133
7223364,3M Innovative Peroperties Company,2147
8197775,3M Innovative Peroperties Company,2148
8696975,3M Innovative Peroperties Company,2776
6485979,3M Innovative Peroperties Company,2919
8492162,3M Innovative Peroperties Company,2924
6391578,3M Innovative Peroperties Company,3250
9624464,3M Innovative Peroperties Company,3372
8012427,3M Innovative Peroperties Company,3409
9650661,3M Innovative Peroperties Company,3601
10059977,3M Innovative Peroperties Company,3602
10111424,3M Innovative Peroperties Company,3874
7771990,3M Innovative Peroperties Company,4036
6461467,3M Innovative Peroperties Company,4331
9353397,3M Innovative Peroperties Company,5137
6372407,3M Innovative Peroperties Company,5165
8592493,3M Innovative Peroperties Company,5168
8735455,3M Innovative Peroperties Company,5169
9290580,3M Innovative Peroperties Company,5170
7629027,3M Innovative Peroperties Company,5341
7824732,3M Innovative Peroperties Company,5342
8092710,3M Innovative Peroperties Company,5344
7514263,3M Innovative Peroperties Company,5361
7871827,3M Innovative Peroperties Company,5847
7727710,3M Innovative Peroperties Company,5969
7939249,3M Innovative Peroperties Company,5970
7103398,3M Innovative Peroperties Company,6094
9351797,3M Innovative Peroperties Company,6191
9725545,3M Innovative Peroperties Company,6617
8975067,3M Innovative Peroperties Company,7103
9145573,3M Innovative Peroperties Company,7104
7465536,3M Innovative Peroperties Company,7281
7468272,3M Innovative Peroperties Company,7282
7524673,3M Innovative Peroperties Company,7283
7192560,3M Innovative Peroperties Company,8219
7347976,3M Innovative Peroperties Company,8220
7981600,3M Innovative Peroperties Company,8221
6379952,3M Innovative Peroperties Company,8408
8377672,3M Innovative Peroperties Company,8410
8435776,3M Innovative Peroperties Company,8411
8846203,3M Innovative Peroperties Company,8412
8945896,3M Innovative Peroperties Company,8413
9758547,3M Innovative Peroperties Company,8414
10005814,3M Innovative Peroperties Company,8415
6787329,3M Innovative Peroperties Company,8814
