PN,CPC
09346957,C07F
08747886,A61K
07008037,B41J
06395267,G01N
07563569,C12Q
08536133,G01N
08211643,G16H
08900620,A61L
10201279,B05D
10106974,C02F
07867771,C12N
09790537,C07K
09739786,C07D
09771395,G01N
06355198,A61K
05525301,F16K
08785733,A01H
09885682,C23C
09663824,A23L
10077597,B29C
07998923,Y10T
08108943,G01N
08906610,C12Q
08642281,C07D
09951282,B01J
09862953,G01N
09983110,C12Q
07771787,Y10T
08012456,A01K
07544793,C12P
07879341,A61K
04225487,Y02A
08497019,A01G
09328032,C05C
09976098,B01J
05962289,Y10S
06465188,C40B
08277928,A61L
07074622,C12Q
05122448,C07K
07160692,Y02A
07790408,C12N
08540939,B01J
09587228,C12Y
08865424,G01N
07183101,A23Y
07857761,A61B
06556853,C12Q
09245337,G01N
07566790,A61K
08822168,C12Q
08946180,A01K
06478939,G01N
07208134,Y10T
09739424,B01D
06982142,C12Y
08564602,G09G
07172765,B32B
06864065,C12Q
08404487,Y10T
08255033,C12Q
07452974,C07K
05597733,G01N
05672276,B01D
05187061,C07K
09775985,A61N
06433154,C12M
09968705,G01N
07449564,C12Q
08403153,B01J
07517453,B01L
09759697,C10L
06541270,Y10T
10203342,G01N
09630165,B01J
08486347,Y10T
10107748,G01N
05928868,C07K
09182360,G01N
05015576,C08J
09068993,G01N
09121851,B01J
05916794,C07K
07445887,C12Q
08137907,C12N
08656697,F16G
09804163,A61K
08859198,C12N
09921164,G01N
09181505,Y02E
06270954,G01N
06350620,B01J
08841132,G01N
09504739,G01N
09487480,C07D
08828311,B23K
06352827,C12Q
07056655,G01N
06721053,G02B
06132842,Y02W
06271315,C08F
06331398,B82Y
06883957,B01L
09957341,C08F
08871273,A61J
06869763,B01J
07651665,G01N
09890420,B01J
08582108,G01R
09198975,G01N
10047235,C09D
09778243,H01J
10202608,C12Q
05952187,C07H
08345253,B82Y
07749263,C09D
08563103,C08J
09162002,C02F
08119335,G03F
05831070,B01J
06221238,C12Q
09885713,C12N
09835622,G01N
06709526,Y10T
08669849,G01N
08003320,C12Q
09939462,G01R
09738860,A61F
09394511,C12M
10130947,B01L
07472593,C12M
07094552,G01N
06923917,C05F
07319046,G01N
08551940,C12Q
08835709,D04H
09733185,B81B
04876187,C12Q
08541006,G01N
05898040,C08L
10126299,B01L
09446360,B01J
06120665,C07C
08288521,C40B
08080411,B01L
09890197,A61K
06203978,C12Q
07135288,B29C
05690819,A01K
06908605,Y10S
09719996,G01N
04621063,Y10S
06130036,C12Q
09790542,B01D
06228389,C11D
06797150,G01N
09028798,A61K
07402403,C12Q
09977026,G01N
07674481,Y10T
04361484,A61K
08865609,C07C
08540988,A61K
07786249,Y10T
08134707,G01J
06514706,C12Q
07862695,G01N
08487297,G01N
08241917,G01N
08278036,A61K
08527207,G16B
09162050,A61N
07186505,C12N
09228918,G01J
06593298,Y10T
08900531,B29C
08642514,C12Q
10125105,C09K
07767182,B82Y
06824974,B82Y
09103836,G01N
