Cited,Citing
03932943,07256000
03932943,07404828
03932943,07498028
03936356,06699685
03940250,07473401
03940250,09103757
03941317,07337998
03941317,08530158
03941317,09121801
03941317,10160947
03944391,07479375
03944391,07901899
03947123,10203274
03948727,06551555
03950133,06541266
03950133,06562625
03950133,06821483
03950133,06887426
03952347,07888405
03953627,07803855
03956128,09199212
03957592,06682936
03957592,06867048
03957592,07045097
03957592,07101717
03957592,07150997
03957592,07241419
03957592,07267751
03957592,07601301
03957592,07858034
03960488,08507259
03960488,08647589
03960489,06537499
03960491,08647589
03960499,07476533
03960499,07927865
03960499,08202719
03960499,08665071
03960499,08669848
03960499,08669849
03960499,09530035
03961187,09146225
03961187,09612231
03964871,06521187
03964871,06818180
03964871,06821786
03964871,08772047
03964871,09023661
03966410,07815803
03966744,07598087
03966744,08377717
03966744,08557182
03966897,06767510
03966897,08968541
03966897,09651549
03966897,10060878
03970518,06372517
03970518,06417011
03970518,06447729
03970518,06448092
03970518,06551843
03970518,06656587
03970518,06730230
03970518,06881589
03970518,07169618
03970518,07332288
03970518,07601491
03970518,07727727
03970518,07863012
03970518,07955836
03970518,08211279
03970518,08329422
03970518,08702958
03970518,08840774
03970518,09902949
03970518,10240186
03971670,09144630
03977568,07217392
03977568,07270785
03977568,07378055
03977568,07404927
03977568,07615371
03979184,07076127
03979184,07202954
03979184,07364896
03979184,07390457
03979184,07449146
03979184,07718422
03979184,08273304
03979184,08669098
03979184,09389178
03979184,09459212
03979184,09572260
03979184,09658165
03979262,06861262
03979509,07026131
03979509,07087203
03981776,06417011
03981776,08021848
03981776,09643180
03981776,10000788
03981983,08133683
03983006,07144496
03985608,06417011
03985649,06447729
03985649,06448092
03985649,06455325
03985649,07329488
03985649,07601491
03985649,07727727
03985649,08084271
03985649,08133671
03985649,08216530
03985649,08247204
03985649,08580544
03985649,09040288
03985649,09186677
03985649,09259734
03985649,09267167
03985649,09410185
03985649,09453229
03985649,09618139
03985649,10071376
03991018,06759442
03991018,07790038
03992265,09782777
03992631,07622294
03992631,09377388
03992631,10107804
03992631,10241026
03992725,08556972
03992725,09707058
03997404,07125522
03997404,07572411
03997482,07316919
03997482,08206958
03997482,08211682
03999553,07318813
03999553,07922685
03999945,06406879
04001583,07064197
04005002,07390667
04005002,07407811
04005002,07452457
04005002,07488601
04005002,07494816
04005002,07556723
04005002,07569126
04005002,07597793
04005002,07604721
04005002,07638033
04005002,07645373
04005002,07645421
04005002,07718439
04005002,07927882
04005002,07977112
04005002,08058077
