Cited	Citing
3932943	7256000
3932943	7404828
3932943	7498028
3936356	6699685
3940250	7473401
3940250	9103757
3941317	7337998
3941317	8530158
3941317	9121801
3941317	10160947
3944391	7479375
3944391	7901899
3947123	10203274
3948727	6551555
3950133	6541266
3950133	6562625
3950133	6821483
3950133	6887426
3952347	7888405
3953627	7803855
3956128	9199212
3957592	6682936
3957592	6867048
3957592	7045097
3957592	7101717
3957592	7150997
3957592	7241419
3957592	7267751
3957592	7601301
3957592	7858034
3960488	8507259
3960488	8647589
3960489	6537499
3960491	8647589
3960499	7476533
3960499	7927865
3960499	8202719
3960499	8665071
3960499	8669848
3960499	8669849
3960499	9530035
3961187	9146225
3961187	9612231
3964871	6521187
3964871	6818180
3964871	6821786
3964871	8772047
3964871	9023661
3966410	7815803
3966744	7598087
3966744	8377717
3966744	8557182
3966897	6767510
3966897	8968541
3966897	9651549
3966897	10060878
3970518	6372517
3970518	6417011
3970518	6447729
3970518	6448092
3970518	6551843
3970518	6656587
3970518	6730230
3970518	6881589
3970518	7169618
3970518	7332288
3970518	7601491
3970518	7727727
3970518	7863012
3970518	7955836
3970518	8211279
3970518	8329422
3970518	8702958
3970518	8840774
3970518	9902949
3970518	10240186
3971670	9144630
3977568	7217392
3977568	7270785
3977568	7378055
3977568	7404927
3977568	7615371
3979184	7076127
3979184	7202954
3979184	7364896
3979184	7390457
3979184	7449146
3979184	7718422
3979184	8273304
3979184	8669098
3979184	9389178
3979184	9459212
3979184	9572260
3979184	9658165
3979262	6861262
3979509	7026131
3979509	7087203
3981776	6417011
3981776	8021848
3981776	9643180
3981776	10000788
3981983	8133683
3983006	7144496
3985608	6417011
3985649	6447729
3985649	6448092
3985649	6455325
3985649	7329488
3985649	7601491
3985649	7727727
3985649	8084271
3985649	8133671
3985649	8216530
3985649	8247204
3985649	8580544
3985649	9040288
3985649	9186677
3985649	9259734
3985649	9267167
3985649	9410185
3985649	9453229
3985649	9618139
3985649	10071376
3991018	6759442
3991018	7790038
3992265	9782777
3992631	7622294
3992631	9377388
3992631	10107804
3992631	10241026
3992725	8556972
3992725	9707058
3997404	7125522
3997404	7572411
3997482	7316919
3997482	8206958
3997482	8211682
3999553	7318813
3999553	7922685
3999945	6406879
4001583	7064197
4005002	7390667
4005002	7407811
4005002	7452457
4005002	7488601
4005002	7494816
4005002	7556723
4005002	7569126
4005002	7597793
4005002	7604721
4005002	7638033
4005002	7645373
4005002	7645421
4005002	7718439
4005002	7927882
4005002	7977112
4005002	8058077
4005002	8083993
4005002	8092668
4005002	8148164
4005002	8206565
4005002	8293538
4005002	8298828
4005002	8404100
4005002	8507289
4005002	8586373
4005002	8647489
4005002	8663442
4005002	8859293
4005002	9410915
4005002	9410917
4005002	10067082
4005010	8691093
4013038	6827901
4013038	6943029
4013038	7270785
4013038	7378055
4013038	7400983
4013038	7404927
4013038	7468161
4013038	7470541
4013038	7937228
4013038	7960178
4013038	8216512
4013038	8257968
4013038	8298815
4013038	8386195
4013038	8394635
4013038	8529836
4013038	8663991
4013038	8673642
4013038	8784735
4013038	8788217
4013038	8969086
4013038	9229016
4013038	9528918
4013038	9778273
4013038	10156580
4013368	7144496
4013418	7998410
4014650	6575017
4014650	7117721
4016250	7029855
4017192	6826422
4017192	7730788
4017192	9442065
4017192	9459202
4017261	6844149
4017261	9970933
4021117	6657713
4021117	6744245
4021117	7435384
4021308	6417011
4021368	7022514
4021368	7473550
4021368	7604807
4022521	6551554
4022521	7731901
4022521	7850916
4022521	8158434
4022521	8241572
4022521	9084995
4022521	9696252
4025393	6555360
4025393	7901937
4026671	7857761
4028933	7329039
4028933	7521023
4028933	7686500
4028933	7687026
4028933	7981368
4028933	8263005
4033722	7807378
4034756	8277830
4034756	8298578
4034884	6513673
4034884	7952704
4034884	8449844
4034884	8802034
4034884	8802038
4034884	8813954
4034884	9056317
4034884	9389153
4034884	9468925
4034884	9687843
4035238	8268579
4035238	8268580
4035238	8420347
4035238	8524468
4035238	8546103
4035238	8765395
4035238	8846336
4039934	8114027
4039934	8334134
4039934	8420385
4039934	8979784
4039934	9011358
4039934	9170177
4039934	9173779
4039934	9274029
4039934	9279747
4039934	9428788
4039934	9504452
4039934	10092275
4039934	10094744
4039934	10094745
4040747	6646264
4040747	7600642
4040747	7941969
4040747	8312672
4040747	8959833
4040784	6352716
4041146	7064197
4041146	8507259
4041995	6407858
4041995	6428752
4041995	6638770
4041995	6722395
4041995	7095032
4042329	6818180
4042329	7795038
4042330	6352716
4042330	6361791
4042335	6541266
4042335	6544475
4042335	6562625
4042335	6703247
4042335	6767714
4042335	6818455
4042335	6821483
4042335	6887426
4042335	6983177
4042335	7045342
4042335	7449146
4042335	8507259
4042335	9739773
4042335	9927443
4043292	6544798
4043292	6582962
4043292	6783733
4043292	6855559
4043292	7067325
4043292	7217392
4043292	7270785
4043292	7378055
4043292	7396508
4043292	7404927
4043292	7410753
4043292	7468161
4043292	7615371
4043292	7754155
4043292	7838283
4043292	8034610
4043292	8058010
4043292	8178350
4043292	8663991
4043292	9528918
4043344	6878757
4043344	8795332
4043344	8821540
4043344	8852232
4043344	9107899
4043344	9248580
4046514	8361810
4046514	8709354
4046514	9023660
4046633	6677430
4046633	6680367
4046633	6815423
4046633	6821952
4046633	7041642
4047533	6878757
4048064	7875182
4048064	8211310
4048064	9604196
4048416	6670199
4048416	7208299
4049546	7361273
4050898	6541266
4050898	6562625
4050898	6602702
4050898	6649403
4050898	6680206
4050898	6713298
4050898	6818180
4050898	6821483
4050898	6887426
4050898	6908770
4050898	7022517
4050898	7132247
4050898	7316899
4050898	7491552
4050898	8101431
4050898	8105849
4050898	8257967
4054646	7354733
4054646	7435384
4054646	8053245
4054646	9459212
4054646	10132794
4056324	6657713
4056324	7105356
4056324	7582487
4056324	7723116
4056324	7736587
4056324	7811515
4056324	8021626
4056359	8871497
4056359	9488613
4056610	10015961
4059407	6818180
4059407	6861262
4059407	9739773
4061466	6413550
4061466	7184894
4061543	6448089
4061543	6638483
4062733	6342349
4062733	6649418
4062935	8664007
4062935	9081016
4062935	9575070
4064294	9700519
4065263	6780617
4065263	6964862
4065263	7056475
4065263	7390667
4065263	7407811
4065263	7452457
4065263	7488601
4065263	7494816
4065263	7556723
4065263	7569126
4065263	7597793
4065263	7604721
4065263	7604983
4065263	7645373
4065263	7645421
4065263	7682565
4065263	7718439
4065263	7799521
