PN,INVENTOR
03930956,Elliot Juni
03930957,Robert B. Koch
03930957,John P. Cummings
03932943,Thomas J. Maxwell
03932943,Anglis R. Briggs
03933718,Arthur R. Spurr
03934979,William O. McClure
03934980,William O. McClure
03936356,Pierre R. Janin
03938049,Jesse L. Acker
03938049,Peter M. Meserol
03938954,Robert F. Mack
03938954,Bernard J. Thiegs
03938954,William S. Stavropoulos
03939092,Orlando G. Molina
03940250,George S. Glaros
03940250,Chris J. Plakas
03940297,Frederick Bolza
03941317,Steven E. Kanor
03941670,"George W. Pratt, Jr."
03944391,Nick S. Harris
03944391,Robert Feinstein
03944471,John R. Waters
03944830,Erik Dissing
03946105,Eiichi Sato
03946105,Hidetaka Nagai
03946105,Fujio Kobayashi
03947123,"Joseph E. Ward, III"
03947123,F. Paul Carlson
03948727,Eberhard Steiger
03950133,Alexander A. Monte
03950133,Ching Chiang
03950226,Moon Ki Chang
03951797,Gilbert R. Seely
03952347,John M. Comerford
03952347,Chandra Kapur
03953294,Ching Chiang
03953294,Alexander A. Monte
03953295,Ching Chiang
03953295,Alexander A. Monte
03953296,Benno Paletta
03953296,Helmut Trutnovsky
03953627,Roy G. Turnbo
03953627,David G. Walker
03953627,Marvin Rosen
03954739,Samuel Wilkinson
03956128,Abner B. Turner
03957375,Tetsuo Hadeishi
03957592,Chung-Chang Young
03958938,Douglas D. Doonan
03958938,Roy R. Sakaida
03959080,Michael Klockow
03959080,Hans Dieter Orth
03959080,Norbert Hennrich
03959080,Wolfgang Brummer
03959287,Richard K. Leute
03959287,Avram Goldstein
03959287,Edwin F. Ullman
03960488,Ivar Giaever
03960489,Ivar Giaever
03960490,Ivar Giaever
03960491,Ivar Giaever
03960493,Mitchell E. Phillips
03960493,Donald C. Beitz
03960499,Fred K. White
03960827,Knut Bertil Bjorklund
03961187,Anthony Rene Barringer
03961894,Amirav Gordon
03961894,Jack Gross
03964434,Alexander M. Saunders
03964434,Stanford L. Adler
03964871,Harry Hochstrasser
03966410,Vilhelm J. Jahnsen
03966641,Istvan Soha
03966641,Kalman Csatar
03966744,Edwin F. Ullman
03966744,Avram Goldstein
03966744,Richard K. Leute
03966764,Edwin F. Ullman
03966764,Richard K. Leute
03966764,Avram Goldstein
03966897,Donald W. Renn
03966897,Calvin A. Saravis
03968011,Adolfo Rosado Garcia
03968011,Jorge Martinez Manautou
03969496,Joseph R. Schrot
03970518,Ivar Giaever
03971670,Charles A. Homsy
03972791,Harold Stern
03973912,John E. Trafton
03973912,Royce Haynes
03973912,Philip E. Nichols
03975157,Melvin E. Smith
03975161,Olga Celechovska
03975161,Vlastimil Svoboda
03975238,Ivar Giaever
03975238,Charles P. Bean
03975280,Alexander Boeck
03975280,Dieter Jung
03975280,Gunther Jakobi
03975280,Klaus Hachmann
03975280,Rudolf Weber
03975343,Thomas P. Hensarling
03975343,Robert H. Barker
03975343,Thomas J. Jacks
03975634,Orlando G. Molina
03977568,David S. Smith
03978264,Donald W. Mogg
03978264,Harlan E. Tarbell
03978264,David L. Ruff
03979184,Ivar Giaever
03979262,Paul Hunziker
03979509,Ivar Giaever
03979945,Louis Kopito
03979945,Harold Kosasky
03979945,Samuel R. Schuster
03980491,Robert E. Eberts
03981185,Orlando G. Molina
03981776,Rolf Saxholm
03981983,J. Douglas Caston
03981983,Barton A. Kamen
03983000,Gerald Odstrchel
03983000,Ralph A. Messing
03983001,Miroslava Krivakova
03983001,Jaroslava Trukova
03983001,Jiri Coupek
03983001,Viktor Mansfeld
03983001,Olga Hubalkova
03983006,Peter M. Meserol
03983006,Jesse L. Acker
03984683,Simon Larach
03985506,Manik L. Das
03985608,Rolf Saxholm
03985649,Roy T. Eddelman
03986932,Timothy F. Scott
03986932,Gordon R. Brushwyler
03989462,Wolfgang Hirsch
03989949,Orlando G. Molina
03991018,Petr Strop
03991018,Otakar Mikes
03991018,Jiri Coupek
03991705,Stanford L. Adler
03992096,Robert J. Oliveira
03992109,Ditmar H. Bock
03992265,Lloyd Frank Hansen
03992631,Richard A. Harte
03992725,Charles A. Homsy
03993558,Josef Katzer
03993558,Pavel Hulak
03993558,Karel Stamberg
03993558,Hubert Prochazka
03993558,Rudolf Jilek
03994189,John C. DiFonzo
03994189,Stanton A. Hoefer
03994688,Jorgen Martin Dohm Schou
03995022,Charles Peter Heanley
03995022,Jozef Kazimierz Tylko
03997404,John R. Waters
03997470,Ching Chiang
03997470,Alexander A. Monte
03997482,Jiri Coupek
03997482,Jaroslava Turkova
03999553,Eugene B. Spitz
03999553,Charles C. Hansford
03999553,Richard E. Brenz
03999945,Jack Kushner
03999945,Henry G. Zwirblis
04000041,Leodis V. Woods
04000041,James W. Lanham
04000041,Ralph A. Wilkinson
04000973,Arne J. Petersen
04000974,William A. Acord
04001088,Alan S. Antonik
04001089,Robert D. Crouch
04001089,William S. Stavropoulos
04001583,M. James Barrett
04002705,Kevin Joseph McKeown
04002905,Orlando G. Molina
04005002,Jean-Claude Higelin
04005002,Roland Engelhardt
04005002,Wolfgang Mindt
04005002,Philippe Racine
04005010,John Lunt
04005187,Gustave F. Kilthau
04005187,Diana R. Loftin
04006061,Lloyd E. Weeks
04006061,John H. Johnson
04007008,William F. Line
04007008,Milton J. Becker
04009004,"Marvin E. Hutchinson, Jr."
04010554,Robert W. Compton
04011048,Howard L. McGill
04011048,"Edgar G. Johnson, Jr."
04011174,Orlando G. Molina
04011308,Ivar Giaever
04011601,John Richard Shanebrook
04011601,Michael Francis Clune
04012325,Richard L. Columbus
04012333,Gordon A. Towle
04013038,Kevin J. Sullivan
04013038,Charles H. Rogers
04013038,Miles E. Vance
04013368,Peter M. Meserol
04013368,Jesse L. Acker
04013411,Saul I. Shupack
04013411,Stephen F. Malin
04013418,Chris J. Plakas
04014650,Rubens A. Sigelmann
04016065,Sidney Marion Beck
04016065,Campbell Moore Gilmour
04016250,Brij B. Saxena
04017192,Robert D. Rosenthal
04017261,Olga Celchovska
04017261,Vlastimil Svoboda
04018651,Albert H. Padovani
04018651,Elio D. Canto
04019961,Alexander Hagen
04019961,Sigmar Klose
04019961,August Wilhelm Wahlefeld
04020006,James E. Parker
04020200,Colin Walter Parkes
04020200,Ronald Alfred Crump
04020200,Aleksander Jerzy Groszek
04021117,Hildegard Gohde
04021117,Wolfgang Gohde
04021308,Rolf Saxholm
04021368,Karel Stamberg
04021368,Pavel Hulak
04021368,Hubert Prochazka
04021368,Pavel Nemec
04021368,Jiri Stamberg
04021368,Josef Katzer
04021368,Rudolf Jilek
04022521,Larry J. Harmsen
04022521,Raymond V. Hall
04022521,Robert E. Isleifson
04022878,Stanley J. Gross
04024530,Arleigh Bruce Hughes
04025393,Tomas Hirschfeld
04026671,Sanford L. Simons
04026671,Frederick M. McNeill
04027623,Stanford L. Adler
04028933,Ross A. Lemons
04028933,Calvin F. Quate
04030343,Knud Christian Claus Fabrin
04030343,Svend Aage Lund
04030343,Allan Northeved
04030343,Poul Solfjeld
04030995,William H. Starkweather
04032407,Charles W. Hancher
04032407,Charles D. Scott
04033722,Jon M. Lindstrom
04034756,Takeru Higuchi
04034756,Harold M. Leeper
04034884,Fred K. White
04035238,Clifton Aldridge
04035238,Michael C. Meyer
04035239,Leo P. McCloskey
04035641,Orlando G. Molina
04036589,Robert Daniel King
04038143,Elliot Juni
04039934,Igor Nikolaevich Mirny
04039934,Fedor Ivanovich Ostashko
04040747,Donald R. Webster
04040784,Arvind D. Deshmukh
04040787,Alejo V. Roy
04040787,Jane R. Heiwig
04041111,Susan J. Kelly
04041111,Larry G. Butler
04041146,Ivar Giaever
04041310,Orlando G. Molina
04041995,Richard L. Columbus
04042329,Harry T. Hochstrasser
04042330,Arvind D. Deshmukh
04042335,Pierre L. Clement
04042682,Sidney Spector
04042733,Harald Woltersdorf
04042733,Karl Buchta
04042733,Mohamed Abdou
04043292,Charles H. Rogers
04043292,Kevin J. Sullivan
04043344,Henry Patrick Landi
04043344,Vincent Anthony Perciaccante
04043759,Stanley E. Charm
04043759,Henry E. Blair
04044020,Josef H. Reisdorff
04044020,Michael Marx
04046514,Melvin Dee Smith
04046514,Katharine Gentry Johnston
04046633,Hans J. Keutel
04046635,Leonard Arthur Moroz
04047533,Henry Patrick Landi
04047533,Vincent Anthony Perciaccante
04048064,"William T. Clark, III"
04048079,James E. Hessert
04048079,Richard L. Clampitt
04048416,Per Jan Erik Carlsson
04048416,Rolf Erik Axel Verner Axen
04048416,Jerker Olof Porath
04049546,Steven L. Rock
04049568,Orlando G. Molina
04050898,Tai W. Wu
04050898,"Charles A. Goffe, deceased"
04050898,Royden N. Rand
04053284,Nancy Ann Posch
04054535,Orlando G. Molina
04054646,Ivar Giaever
04055470,Norman Alexander Hinton
04055470,Edward Thomas Sheaff
04056324,Hildegard Gohde
04056359,Pierre R. Janin
04056610,Anthony J. Lucas
04056610,Richard Y. Wen
04056610,"Loren L. Barber, Jr."
04058460,Yoichiro Ito
04059407,Harry T. Hochstrasser
04059982,Harry Frederick Bowman
04061466,Nils Roger Lindmark
04061466,Ingvar Gosta Holger Sjoholm
04061466,Bo Magnus Ekman
04061543,Charles P. Bean
04061543,"Roy J. King, Jr."
04061543,Egidijus E. Uzgiris
04061566,Michael Modell
04061591,Roy Oliver
04061591,Garfield P. Royer
04062733,Paul Hemesley
04062733,John Christopher Edwards
04062935,Pierre Lucien Masson
04062935,Joseph Felix Heremans
04062936,Nobuhisa Ogawa
04062936,Masakatsu Hashimoto
04064294,Rodger G. Temple
04064294,Simon Babil
04064294,James A. Claar
04064440,Frederick L. Roder
04065263,"Richard G. Woodbridge, III"
04065383,Helge Skare
04065383,Henry Hirschberg
04066400,James P. Cox
04066400,Robert W. Beach
04066512,Stanley M. Goldin
04066512,Chung Jung Lai
04067229,Samuel R. Schuster
04067775,Hermann Lang
04067775,Norbert Hennrich
04067775,Hans-Dieter Orth
04067775,Uwe Wurzburg
04067821,Vaclav Votapek
04067821,Eduard Marval
04067821,Rudolf Jilek
04067821,Karel Stamberg
04069016,Tai-Wing Wu
04069017,Glen Marshall Dappen
04069017,Tai-Wing Wu
04069419,Orlando G. Molina
04070246,John Frederick Kennedy
04070246,Martin Frank Chaplin
04070247,Stanton C. Burt
04070249,Holger Hagen
04070249,Pierre R. Janin
04071020,Peter Pugliese
04072045,Louis Kopito
04072572,Gregory D. Rodgers
04072572,James W. Lanham
04072572,Michael C. Meyer
04072573,Sandra F. Gibson
04072573,Gregory D. Rodgers
04072573,Clifton Aldridge
